CGD,ORF_ID,KEGG,Gene_Name,UNIPROT,Descripción1,Descripción2
C1_07890C_A,orf19.5061,CAALFM_C107890CA,ADE5,7,A0A1D8PE67, Phosphoribosylamine-glycine ligase and phosphoribosylformylglycinamidine cyclo-ligase,Bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase
CR_04740C_A,orf19.6317,CAALFM_CR04740CA,ADE6,-, 5-Phosphoribosylformyl glycinamidine synthetase,Phosphoribosylformylglycinamidine synthase
C2_03090C_A,orf19.5789,CAALFM_C203090CA,ADE8,A0A1D8PGS7, Putative phosphoribosylglycinamide formyl-transferase, enzyme of amino acid biosynthesis pathway,Phosphoribosylglycinamide formyltransferase
C5_05050W_A,orf19.3997,CAALFM_C505050WA,ADH1,A0A1D8PP43, Alcohol dehydrogenase,Adh1p
C1_08330C_A,orf19.5113,CAALFM_C108330CA,ADH2,-, Alcohol dehydrogenase,Alcohol dehydrogenase 2 (EC 1.1.1.1)
C2_04470W_A,orf19.4505,CAALFM_C204470WA,ADH3,A0A1D8PH64,,Adh3p
C3_02800W_A,orf19.271,CAALFM_C302800WA,ADH4,Q5AEJ7,,Adh4p
CR_02070C_A,orf19.2608,CAALFM_CR02070CA,ADH5,-,,Adh5p
C6_01910W_A,orf19.3391,CAALFM_C601910WA,ADK1,-, Putative adenylate kinase,Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)
C7_00060C_A,orf19.7118,CAALFM_C700060CA,ADK2,A0A1D8PQH7, Protein of unknown function,GTP:AMP phosphotransferase, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3)
C6_03080C_A,orf19.5591,CAALFM_C603080CA,ADO1,A0A1D8PQ26, Adenosine kinase,Adenosine kinase
CR_05950C_A,orf19.459,CAALFM_CR05950CA,ADP1,-, Putative PDR-subfamily ABC transporter,Putative ATP-dependent permease
C4_02500C_A,orf19.2752,CAALFM_C402500CA,ADR1,-,Transcriptional regulator ADR1,
C6_01000C_A,orf19.102,CAALFM_C601000CA,AEP1,A0A1D8PPI1, Protein of unknown function,Uncharacterized protein
C1_08850C_A,orf19.4743,CAALFM_C108850CA,AFG1,A0A1D8PEE3,,Afg1p
C3_01760W_A,orf19.1669,CAALFM_C301760WA,AFG3,Q5AJC2, Similar to S. cerevisiae Afg3p, a subunit of the mitochondrial inner membrane m-AAA protease,AAA family ATPase
C3_04200W_A,orf19.5862,CAALFM_C304200WA,AFP99,Q5ANN8,,Afp99p
C2_07170C_A,orf19.2272,CAALFM_C207170CA,AFT2,-,Iron-regulated transcriptional activator AFT2 (Activator of iron transcription protein 2),
C5_00540C_A,orf19.935,CAALFM_C500540CA,AGA1,A0A1D8PMZ6,,Aga1p
C1_13400C_A,orf19.4966,CAALFM_C113400CA,AGC1,Q5AL11, Putative mitochondrial carrier protein,Amino acid transporter
C1_03480C_A,orf19.3050,CAALFM_C103480CA,AGE1,A0A1D8PD25, Putative GTPase activator,Age1p
C2_09580W_A,orf19.1396,CAALFM_C209580WA,AGE2,A0A1D8PIG1, Protein of unknown function,Age2p
C1_02260C_A,orf19.3683,CAALFM_C102260CA,AGE3,A0A1D8PCP6, Putative ADP-ribosylation factor GTPase activating protein, functional ortholog of S. cerevisiae GCS1,Age3p
C1_13760W_A,orf19.5013,CAALFM_C113760WA,AGM1,Q5AKW4, Phosphoacetylglucosamine mutase (N-acetylglucosamine-phosphate mutase),Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase)
C4_06340W_A,orf19.2903,CAALFM_C406340WA,ago-01,A0A1D8PMK0, Putative Argonaute protein involved in RNA silencing,Ago1p
C4_01100C_A,orf19.4679,CAALFM_C401100CA,AGP2,Q5AMG7,,Agp2p
C4_04840C_A,orf19.3795,CAALFM_C404840CA,AGP3,Q5A695,,Agp3p
CR_10270C_A,orf19.7602,CAALFM_CR10270CA,AHA1,-, Putative Hsp90p co-chaperone,#N/D
C4_02410C_A,orf19.2762,CAALFM_C402410CA,AHP1,Q5AF44, Alkyl hydroperoxide reductase,Peroxiredoxin (EC 1.11.1.15)
C7_02390W_A,orf19.6470,CAALFM_C702390WA,AHP2,A0A1D8PR39, Putative thiol-specific peroxiredoxin,Peroxiredoxin (EC 1.11.1.15)
C3_06000W_A,orf19.7381,CAALFM_C306000WA,AHR1,-,Adhesion and hyphal regulator 1 (Zinc finger transcription factor 37),
C4_03350C_A,orf19.3362,CAALFM_C403350CA,AIF1,A0A1D8PLT0,Pyr_redox_2 domain-containing protein,
C3_03040W_A,orf19.300,CAALFM_C303040WA,AIP2,A0A1D8PJK5, Putative actin interacting protein,D-lactate dehydrogenase
C6_00910C_A,orf19.92,CAALFM_C600910CA,AIP5,A0A1D8PPH3, Protein with a predicted thioredoxin-like domain,Glutaredoxin domain-containing protein
C2_10750C_A,orf19.5357,CAALFM_C210750CA,AKL1,Q5A5P2, Putative serine/threonine protein kinase,Serine/threonine protein kinase
C1_13220C_A,orf19.4950,CAALFM_C113220CA,AKR1,-, Ankyrin-repeat protein,#N/D
C6_03720W_A,orf19.5746,CAALFM_C603720WA,ALA1,-, Alanyl-tRNA synthetase,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
C2_02970C_A,orf19.5806,CAALFM_C202970CA,ALD5,A0A1D8PGT5, NAD-aldehyde dehydrogenase,Aldehyde dehydrogenase (NAD(P)(+))
C4_05130C_A,orf19.742,CAALFM_C405130CA,ALD6,A0A1D8PM94,,Ald6p
C4_06000W_A,orf19.4410,CAALFM_C406000WA,ALG1,-,Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase),
C6_02270C_A,orf19.3468,CAALFM_C602270CA,ALG11,-, Alpha-1,2-mannosyltransferase,GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)
C6_04030W_A,orf19.1221,CAALFM_C604030WA,ALG2,-, Putative mannosyltransferase involved in cell wall mannan biosynthesis,Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)
CR_02790C_A,orf19.2837,CAALFM_CR02790CA,ALG5,-, Putative glucosyltransferase involved in cell wall mannan biosynthesis,Dolichyl-phosphate beta-glucosyltransferase
CR_06900C_A,orf19.1843,CAALFM_CR06900CA,ALG6,-,Alpha-1,3-glucosyltransferase (EC 2.4.1.-),
C2_07940C_A,orf19.2187,CAALFM_C207940CA,ALG7,A0A1D8PI58,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,
C3_01880W_A,orf19.1659,CAALFM_C301880WA,ALG8,-,Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase),
C1_07250C_A,orf19.4442,CAALFM_C107250CA,ALG9,A0A1D8PE04,Mannosyltransferase (EC 2.4.1.-),
C3_01410C_A,orf19.1710,CAALFM_C301410CA,ALI1,A0A1D8PJ73, Putative NADH-ubiquinone oxidoreductase,Ali1p
CR_00210W_A,orf19.7513,CAALFM_CR00210WA,ALK2,-,,Alk2p
C7_01540W_A,orf19.6574,CAALFM_C701540WA,ALK6,Q5AGW4,,Alk6p
CR_07130C_A,orf19.10,CAALFM_CR07130CA,ALK8,-,,Alk8p
CR_09790W_A,orf19.7551,CAALFM_CR09790WA,ALO1,-, D-Arabinono-1,4-lactone oxidase involved in biosynthesis of dehydro-D-arabinono-1,4-lactone, which has a protective role against oxidative damage,D-arabinono-1,4-lactone oxidase (ALO) (EC 1.1.3.37) (L-galactono-gamma-lactone oxidase)
C1_10800C_A,orf19.2337,CAALFM_C110800CA,ALP1,Q59WG4,,#N/D
C3_02370C_A,orf19.1607,CAALFM_C302370CA,ALR1,A0A1D8PJF5,Mg(2+) transporter,Mg(2+) transporter
C6_03700W_A,orf19.5741,CAALFM_C603700WA,ALS1,-,Agglutinin-like protein 1 (Adhesin 1),Agglutinin-like protein 1 (Adhesin 1)
C6_04380W_A,orf19.1097,CAALFM_C604380WA,ALS2,-,Agglutinin-like protein 2 (Adhesin 2),Agglutinin-like protein 2 (Adhesin 2)
CR_07070C_A,orf19.1816,CAALFM_CR07070CA,ALS3,-,Agglutinin-like protein 3 (3D9 antigen) (Adhesin 3),Agglutinin-like protein 3 (3D9 antigen) (Adhesin 3)
C6_04130C_A,orf19.4555,CAALFM_C604130CA,ALS4,-,Agglutinin-like protein 4 (Adhesin 4),Agglutinin-like protein 4 (Adhesin 4)
C6_03690W_A,orf19.5736,CAALFM_C603690WA,ALS5,-,Agglutinin-like protein 5 (Adhesin 5),Agglutinin-like protein 5 (Adhesin 5)
C3_06190C_A,orf19.7414,CAALFM_C306190CA,ALS6,-,Agglutinin-like protein 6 (Adhesin 6),Agglutinin-like protein 6 (Adhesin 6)
C3_06320W_A,orf19.7400,CAALFM_C306320WA,ALS7,-,Agglutinin-like protein 7 (Adhesin 7),Agglutinin-like protein 7 (Adhesin 7)
C6_03710W_A,orf19.5742,CAALFM_C603710WA,ALS9,-,Agglutinin-like protein 9 (Adhesin 9),Agglutinin-like protein 9 (Adhesin 9)
C3_03480C_A,orf19.346,CAALFM_C303480CA,ALT1,A0A1D8PJP4,Antagonist of mitotic exit network protein 1,Alanine transaminase
C2_01950C_A,orf19.1507,CAALFM_C201950CA,AMN1,-,Antagonist of mitotic exit network protein 1,Antagonist of mitotic exit network protein 1
C2_03120W_A,orf19.5784,CAALFM_C203120WA,AMO1,Q5A0M7,Amine oxidase (EC 1.4.3.-),Amine oxidase (EC 1.4.3.-)
C2_06700W_A,orf19.3152,CAALFM_C206700WA,AMO2,Q59KV5, Protein similar to A. niger predicted peroxisomal copper amino oxidase,Amine oxidase (EC 1.4.3.-)
C4_02360W_A,orf19.2768,CAALFM_C402360WA,AMS1,Q5AF38, Putative alpha-mannosidase,Alpha-mannosidase
C6_01610W_A,orf19.3426,CAALFM_C601610WA,ANB1,-, Translation initiation factor eIF-5A,Eukaryotic translation initiation factor 5A (eIF-5A) (eIF-4D)
C2_08570W_A,orf19.3622,CAALFM_C208570WA,ANP1,Q59Y27,,Anp1p
C1_06570W_A,orf19.6254,CAALFM_C106570WA,ANT1,Q5AAQ7,,Ant1p
C1_09160W_A,orf19.4774,CAALFM_C109160WA,AOX1,A0A1D8PEM4,Alternative oxidase (EC 1.-.-.-),Alternative oxidase (EC 1.-.-.-)
C1_09150W_A,orf19.4773,CAALFM_C109150WA,AOX2,A0A1D8PEH5,Alternative oxidase (EC 1.-.-.-),Alternative oxidase (EC 1.-.-.-)
C6_03410C_A,orf19.5630,CAALFM_C603410CA,APA2,A0A1D8PQ57,Anaphase promoting complex subunit 1,Bifunctional AP-4-A phosphorylase/ADP sulfurylase
C1_00600W_A,orf19.6046,CAALFM_C100600WA,APC1,A0A1D8PCA6,Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7),Anaphase promoting complex subunit 1
C1_04400C_A,orf19.5197,CAALFM_C104400CA,APE2,-,AP complex subunit beta,Aminopeptidase 2 (EC 3.4.11.-)
C2_08800C_A,orf19.3591,CAALFM_C208800CA,APE3,A0A1D8PI95, Putative vacuolar aminopeptidase Y,,Peptide hydrolase (EC 3.4.-.-)
CR_06730W_A,orf19.707,CAALFM_CR06730WA,APG7,-,,Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7)
C1_14040W_A,orf19.7212,CAALFM_C114040WA,APL1,A0A1D8PFU6,AP complex subunit beta,AP complex subunit beta
C3_02430W_A,orf19.231,CAALFM_C302430WA,APL2,A0A1D8PJI6, Phosphorylated protein of unknown function,AP complex subunit beta
CR_02870W_A,orf19.2844,CAALFM_CR02870WA,APL4,-, Predicted gamma-adaptin, large subunit of the clathrin-associated protein (AP-1) complex,AP-1 complex subunit gamma
C3_02590W_A,orf19.248,CAALFM_C302590WA,APL5,A0A1D8PJJ8, Ortholog of S. cerevisiae and S. pombe Apl5,AP-3 complex subunit delta
C5_05400W_A,orf19.4036,CAALFM_C505400WA,APM1,Q5AJY4, Ortholog of S. cerevisiae/S. pombe Apm1,Apm1p
C2_07880W_A,orf19.2194,CAALFM_C207880WA,APM4,Q5A2L1,,Apm4p
C3_06430W_A,orf19.7428,CAALFM_C306430WA,APN1,A0A1D8PKJ7,DNA-(Apurinic or apyrimidinic site) lyase,DNA-(Apurinic or apyrimidinic site) lyase
C1_10650W_A,orf19.1836,CAALFM_C110650WA,APN2,A0A1D8PEX6,DNA-(Apurinic or apyrimidinic site) lyase,DNA-(Apurinic or apyrimidinic site) lyase
C2_07400C_A,orf19.1891,CAALFM_C207400CA,APR1,Q59U59, Vacuolar aspartic proteinase,Proteinase A
C1_08480C_A,orf19.393,CAALFM_C108480CA,APS3,-, Component of the adaptor complex AP-3, which is involved in vacuolar protein sorting,Clathrin-associated protein AP-3 complex component APS3
C2_01430W_A,orf19.1448,CAALFM_C201430WA,APT1,-, Adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
CR_02920C_A,orf19.2849,CAALFM_CR02920CA,AQY1,-,,Aqy1p
C2_08130W_A,orf19.2172,CAALFM_C208130WA,ARA1,A0A1D8PI24, D-Arabinose dehydrogenase,D-arabinose 1-dehydrogenase (NAD(P)(+))
CR_03060W_A,orf19.2422,CAALFM_CR03060WA,ARC1,-, Putative G4 nucleic acid binding protein,Arc1p
CR_07210W_A,orf19.6151,CAALFM_CR07210WA,ARC15,-, Putative ARP2/3 complex subunit,Actin-related protein 2/3 complex subunit 5
C6_01140C_A,orf19.121,CAALFM_C601140CA,ARC18,Q59WT0, Putative ARP2/3 complex subunit,Actin-related protein 2/3 complex subunit 3
CR_01040C_A,orf19.3251,CAALFM_CR01040CA,ARC19,-, Putative ARP2/3 complex subunit,Actin-related protein 2/3 complex subunit 4
C1_06080C_A,orf19.2437,CAALFM_C106080CA,ARC35,Q5AA47, Putative ARP2/3 complex subunit,Arp2/3 complex 34 kDa subunit
CR_06180W_A,orf19.3873,CAALFM_CR06180WA,ARC40,-, Protein similar to S. cerevisiae Arc40,Actin-related protein 2/3 complex subunit
C6_00150W_A,orf19.6322,CAALFM_C600150WA,ARD,A0A1D8PPB1, D-arabitol dehydrogenase, NAD-dependent (ArDH),Ardp
C2_06940C_A,orf19.2248,CAALFM_C206940CA,ARE2,Q59Z52, Acyl CoA:sterol acyltransferase,O-acyltransferase
CR_08700C_A,orf19.6447,CAALFM_CR08700CA,ARF1,-,ADP-ribosylation factor,ADP-ribosylation factor
C3_04950W_A,orf19.5964,CAALFM_C304950WA,ARF2,Q5AND9, Putative ADP-ribosylation factor,Arf family GTPase
C3_01470W_A,orf19.1702,CAALFM_C301470WA,ARF3,A0A1D8PJ64, Similar to but not orthologous to S. cerevisae Arf3,Arf3p
CR_00620C_A,orf19.7469,CAALFM_CR00620CA,ARG1,-, Argininosuccinate synthase,Argininosuccinate synthase
C3_04660C_A,orf19.5926,CAALFM_C304660CA,ARG11,Q5ANH7,,Arg11p
C1_05020C_A,orf19.56,CAALFM_C105020CA,ARG2,-,Amino-acid acetyltransferase, mitochondrial (EC 2.3.1.1) (Arginine-requiring protein 2) (Glutamate N-acetyltransferase) (N-acetylglutamate synthase) (AGS) (NAGS),Amino-acid acetyltransferase, mitochondrial (EC 2.3.1.1) (Arginine-requiring protein 2) (Glutamate N-acetyltransferase) (N-acetylglutamate synthase) (AGS) (NAGS)
C6_03230W_A,orf19.5610,CAALFM_C603230WA,ARG3,Q5ABU0, Putative ornithine carbamoyltransferase,Ornithine carbamoyltransferase
C7_03570W_A,orf19.6689,CAALFM_C703570WA,ARG4,Q59R31, Argininosuccinate lyase, catalyzes the final step in the arginine biosynthesis pathway,Argininosuccinate lyase
C1_09290C_A,orf19.4788,CAALFM_C109290CA,ARG5,6,A0A1D8PEI6, Arginine biosynthetic enzyme,Bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase
C4_05070C_A,orf19.3770,CAALFM_C405070CA,ARG8,A0A1D8PM83, Putative acetylornithine aminotransferase,Acetylornithine transaminase
C1_09090C_A,orf19.4766,CAALFM_C109090CA,ARG81,A0A1D8PEG7,,Arg81p
C4_02530W_A,orf19.2748,CAALFM_C402530WA,ARG83,A0A1D8PLL5,,Arg83p
C2_04880C_A,orf19.3521,CAALFM_C204880CA,ARH2,A0A1D8PH88, Putative adrenodoxin-NADPH oxidoreductase,NADPH-adrenodoxin reductase (Fragment)
C4_01890C_A,orf19.4603,CAALFM_C401890CA,ARL1,Q5AMP3, Putative GTPase,Arf family GTPase
C1_11190W_A,orf19.2297,CAALFM_C111190WA,ARL3,A0A1D8PF23,Arf family GTPase,Arf family GTPase
C4_00890W_A,orf19.4704,CAALFM_C400890WA,ARO1,-,RNA exonuclease 3 (EC 3.1.-.-),"Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4), 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS), Shikimate kinase (SK) (EC 2.7.1.71), 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10), Shikimate dehydrogenase (EC 1.1.1.25)]"
CR_06860C_A,orf19.1847,CAALFM_CR06860CA,ARO10,-,Actin-related protein 1,Phenylpyruvate decarboxylase
CR_07710W_A,orf19.1986,CAALFM_CR07710WA,ARO2,-, Putative chorismate synthase,Chorismate synthase (EC 4.2.3.5)
C2_02030W_A,orf19.1517,CAALFM_C202030WA,ARO3,A0A1D8PGI8, 3-deoxy-D-arabinoheptulosonate-7-phosphate synthase,Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)
C1_05110C_A,orf19.4060,CAALFM_C105110CA,ARO4,-, 3-deoxy-D-arabinoheptulosonate-7-phosphate synthase,Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)
C1_11500C_A,orf19.1170,CAALFM_C111500CA,ARO7,Q59TS4, Putative chorismate mutase,Chorismate mutase (EC 5.4.99.5)
C2_00340C_A,orf19.2098,CAALFM_C200340CA,ARO8,A0A1D8PG20, Aromatic transaminase of the Ehrlich fusel oil pathway of aromatic alcohol biosynthesis,Bifunctional 2-aminoadipate transaminase/aromatic-amino-acid:2-oxoglutarate transaminase
C1_03200C_A,orf19.3012,CAALFM_C103200CA,ARO80,A0A1D8PCY0,,RNA exonuclease 3 (EC 3.1.-.-)
C4_05560C_A,orf19.1237,CAALFM_C405560CA,ARO9,A0A1D8PMC5, Aromatic transaminase,Aromatic-amino-acid:2-oxoglutarate transaminase
C5_03380W_A,orf19.2641,CAALFM_C503380WA,ARP1,Q59QT2,,Actin-related protein 1
CR_08950W_A,orf19.7292,CAALFM_CR08950WA,ARP2,-, Component of the Arp2/3 complex,Actin-related protein 2
C2_07320W_A,orf19.2289,CAALFM_C207320WA,ARP3,Q59Z11, Protein with Myo5p-dependent localization to cortical actin patches at hyphal tip,Actin-related protein 3
C6_03350C_A,orf19.5623,CAALFM_C603350CA,ARP4,-, Subunit of the NuA4 histone acetyltransferase complex,Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4)
C1_03310W_A,orf19.3027,CAALFM_C103310WA,ARP7,A0A1D8PCZ5, Putative DNA translocase,Uncharacterized protein
C1_01700W_A,orf19.3359,CAALFM_C101700WA,ARP8,A0A1D8PCJ9, Putative chromatin-remodeling enzyme complex protein,Actin-related protein 8
C3_01030W_A,orf19.2507,CAALFM_C301030WA,ARP9,Q5A9X7, Protein similar to S. cerevisiae Arp3p, a component of the Arp2/3 complex involved in actin-dependent processes,Arp9p
C4_06890W_A,orf19.3122,CAALFM_C406890WA,ARR3,A0A1D8PMP4,,Arr3p
C3_04710W_A,orf19.5931,CAALFM_C304710WA,ARV1,-,,Protein ARV1
C1_03230C_A,orf19.3015,CAALFM_C103230CA,ARX1,-, Putative ribosomal large subunit biogenesis protein,Probable metalloprotease ARX1 (EC 3.-.-.-) (Associated with ribosomal export complex protein 1)
C7_01250W_A,orf19.6906,CAALFM_C701250WA,ASC1,-, 40S ribosomal subunit similar to G-beta subunits,Guanine nucleotide-binding protein subunit beta-like protein (Cytoplasmic antigenic protein 1)
C3_05960W_A,orf19.7377,CAALFM_C305960WA,ASE1,A0A1D8PKC6,,Ase1p
CR_07860C_A,orf19.3715,CAALFM_CR07860CA,ASF1,-,Histone chaperone ASF1 (Anti-silencing function protein 1),Histone chaperone ASF1 (Anti-silencing function protein 1)
CR_02560C_A,orf19.166,CAALFM_CR02560CA,ASG1,-, Gal4p family zinc-finger transcription factor with similarity to S. cerevisiae Asg1p,Activator of stress genes protein 1
C6_02510C_A,orf19.5520,CAALFM_C602510CA,ASG7,A0A1D8PPY4,,Asg7p
C2_10660W_A,orf19.5343,CAALFM_C210660WA,ASH1,-,Transcriptional regulatory protein ASH1,Transcriptional regulatory protein ASH1
C5_04780W_A,orf19.3964,CAALFM_C504780WA,ASH2,Q5AK56, Protein of unknown function,Ash2p
